,text,author_id,id,in_reply_to_user_id
0,"no deaths thankfully, so how then if it cannot be contained the worldâ€™s biggest population and area where covid-19 was first found have only 90 thousand cases and 4,636 deaths? That country is China with a population of 1,440 million peoples many of them over half live in poverty",1096310557823643648,1355485858128916480,1096310557823643648
1,"@LaraLeaTrump @LynnePatton @NMalliotakis 447,459 deaths 26,512,193 covid cases, 3000 Americans are dying every day from the Trump virus, even after the WH took control of all hospital data from the CDC 'it is what it is' since Trump allowed over 40,000 infected citizens to enter from China via Europe after the shutdown.",2207367948,1355485761282465792,75541946
2,"@JudgeJeanine @EliseStefanik @JaniceDean @dbongino @RealPNavarro @DarrellIssa @charliekirk11 @TheLeoTerrell 447,459 deaths 26,512,193 covid cases, 3000 Americans are dying every day from the Trump virus, even after the WH took control of all hospital data from the CDC 'it is what it is' since Trump allowed over 40,000 infected citizens to enter from China via Europe after the shutdown.",2207367948,1355485719284822025,29458079
3,"@FoxNews 447,459 deaths 26,512,193 covid cases, 3000 Americans are dying every day from the Trump virus, even after the WH took control of all hospital data from the CDC 'it is what it is' since Trump allowed over 40,000 infected citizens to enter from China via Europe after the shutdown.",2207367948,1355485681963954176,1367531
4,"deaths thankfully, so how then if it cannot be contained the worldâ€™s biggest population and area where covid-19 was first found have only 90 thousand cases and 4,636 deaths? That country is China with a population of 1,440 million peoples many of them over half live in poverty",1096310557823643648,1355485590884675587,1096310557823643648
5,Just a reminder Dalai Lama is in India.  ðŸ˜‚ðŸ˜‚ðŸ˜‚. The COVID crisis was handled by the Indian government better than the US and Brazil government. China does not have guts to release the real numbers in the COVID crises. Nice try @chenweihua better luck next time. https://t.co/IvVeSO4cz4,1229187668,1355485450610200577,
6,"Covid-19 but no deaths thankfully, so how then if it cannot be contained the worldâ€™s biggest population and area where covid-19 was first found have only 90 thousand cases and 4,636 deaths? That country is China with a population of 1,440 million peoples many of them over half",1096310557823643648,1355485324143710210,1096310557823643648
7,@robreiner Youâ€™re unbelievably ignorant and just a typical Hollywierdo!! Got to China and get a Anus Covid test and maybe just maybe theyâ€™ll find your head.,21822709,1355485289867849729,738080573365702657
8,"Covid-19: Vaccines Must Be Ready to Adapt to Variants, Fauci Says 
#Europe
#China
#Infections
#CDC
#WHO
#COVID19
#VirusCrisis
#USA
#Pandemic 
#JoeBiden
#DrAnthonyFauci
#DrDeborahBirx
#OperationWarpSpeed
#Testing
#Mandates
#Masks
#Deaths
#Vaccine 
#Variants
https://t.co/hH6wPqHbdh",220365524,1355485216530452481,
9,"@ChrissieGrech Disease Transmission Speed
Covid has consistently shown enormous rapidity of spread
I tracked it from China in Jan, thru the Diamond Princess, Italy &amp; UK in Feb/Mar
It showed it could transmit 10 fold in 5.55days in China to 8.67days in UK.
ie doubling time 1.67 to 2.61days
2/7 https://t.co/0SrioOg2b8",830484000443613184,1355485086037245955,830484000443613184
10,"WHO Covid-19 mission meets Wuhan hospital leaders â€“ then â€˜visits museumsâ€™
Source: South China Morning Post
https://t.co/zSM2cIn7vg",1213780071212707840,1355484894781173764,
11,@wfmeme @jimbo888 @TheInn3rS4nctum @kitty_donaldson No it's really not. It's implying blame and negativity. There's no reason to call it China virus over COVID unless you want that negative connotation. It also draws up negativity of Asian people and attacks on them increased after Trump started using China virus.,250674629,1355484751675744257,748864959405228033
12,Pakistan to receive 0.5 million Covid-19 jabs from China on Feb 1: sources https://t.co/YJERBe1xNm,951797775943065600,1355484680687149062,
13,"U.S. intelligence officials say Chinese government is collecting Americans' DNA.

60 Minutes has learned Chinese company BGI Group, the largest biotech firm in the world, offered to build COVID labs in at least six states.

#chinaliedpeopledied #China 

https://t.co/KlWn29ACVz",751797757938114560,1355484665583456257,
14,"Fomer Secretary of State Pompeo. Of Course He has a problem with it. ðŸ˜‚

How about this Pompeo....You call HIV the ""AMERICAN VIRUS, "" and you can continue to call COVID the ""China Virus""

#COVID19 https://t.co/Y49HYt9WMX",26219397,1355484219716194304,
